=== bench . ===
goos: linux
goarch: amd64
pkg: github.com/axonops/audit
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkAudit_WithHMAC-32                                 	 3339856	       369.5 ns/op	     299 B/op	       2 allocs/op
BenchmarkAudit_WithHMAC-32                                 	 3619392	       300.6 ns/op	     248 B/op	       1 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 2303740	       512.6 ns/op	     436 B/op	       5 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 2161906	       484.3 ns/op	     434 B/op	       5 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 2206761	       501.6 ns/op	     435 B/op	       5 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 2133630	       507.0 ns/op	     438 B/op	       5 allocs/op
BenchmarkStandardFieldDefaults_Applied-32                  	 2198080	       490.5 ns/op	     437 B/op	       5 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 3114370	       388.4 ns/op	     414 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 3093471	       332.7 ns/op	     342 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 3204096	       337.9 ns/op	     345 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 3152863	       333.3 ns/op	     342 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithMetadataWriter-32            	 3253032	       336.3 ns/op	     343 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 3360382	       311.8 ns/op	     375 B/op	       2 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 3170823	       315.6 ns/op	     366 B/op	       2 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 3300777	       323.4 ns/op	     385 B/op	       2 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 3211996	       318.9 ns/op	     358 B/op	       2 allocs/op
BenchmarkDeliverToOutputs_MixedOutputs-32                  	 3155875	       318.5 ns/op	     370 B/op	       2 allocs/op
BenchmarkFilterCheck-32                                    	72694362	        16.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck-32                                    	70411592	        17.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck-32                                    	68643974	        17.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck-32                                    	67659436	        17.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck-32                                    	72217248	        16.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.045 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.072 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.058 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.061 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_Parallel-32                           	1000000000	         1.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.075 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.088 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.040 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.081 ns/op	       0 B/op	       0 allocs/op
BenchmarkFilterCheck_ReadWriteContention-32                	1000000000	         1.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendPostFields_JSON-32                          	14320443	        99.87 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_JSON-32                          	11022308	       101.1 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_JSON-32                          	 9466166	       112.7 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_JSON-32                          	10977315	       103.5 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_JSON-32                          	13069243	       105.2 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	15768800	        70.97 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	14786742	        79.46 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	13937581	        82.33 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	14319726	        87.87 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_CEF-32                           	13060111	        90.05 ns/op	     128 B/op	       1 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	892770555	         1.345 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	887009145	         1.349 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	890191713	         1.344 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	913554745	         1.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendPostFields_Disabled-32                      	869336046	         1.385 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewEventKV-32                                     	 6825045	       182.2 ns/op	     360 B/op	       3 allocs/op
BenchmarkNewEventKV-32                                     	 6076831	       192.0 ns/op	     360 B/op	       3 allocs/op
BenchmarkNewEventKV-32                                     	 6036837	       189.8 ns/op	     360 B/op	       3 allocs/op
BenchmarkNewEventKV-32                                     	 6544670	       191.3 ns/op	     360 B/op	       3 allocs/op
BenchmarkNewEventKV-32                                     	 6305392	       184.4 ns/op	     360 B/op	       3 allocs/op
BenchmarkMatchesRoute/empty_route-32                       	689297791	         1.715 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/empty_route-32                       	691895214	         1.710 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/empty_route-32                       	700221612	         1.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/empty_route-32                       	696168423	         1.720 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/empty_route-32                       	694565631	         1.720 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                	326608940	         3.649 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                	331224996	         3.618 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                	330599646	         3.643 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                	331211530	         3.636 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_categories-32                	324957168	         3.622 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                	144768660	         8.656 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                	142639200	         8.545 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                	138544411	         8.498 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                	133474119	         8.528 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/exclude_categories-32                	136783580	         8.526 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32               	283088838	         4.191 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32               	281968154	         4.224 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32               	280685788	         4.207 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32               	283679905	         4.185 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_event_types-32               	283854883	         4.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute/include_20_categories-32             	126245937	         9.498 ns/op	       0 B/op	       0 allocs/op
