=== bench . ===
goos: linux
goarch: amd64
pkg: github.com/axonops/audit
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkDeliverToOutputs_NoSensitivity-32                 	2026/04/12 20:11:04 WARN audit: loki retryable error attempt=1 max_retries=1 error="audit: loki request failed: Post \"http://127.0.0.1:45099\": readfrom tcp 127.0.0.1:58668->127.0.0.1:45099: write tcp 127.0.0.1:58668->127.0.0.1:45099: write: connection reset by peer"
2026/04/12 20:11:04 ERROR audit: loki retries exhausted, dropping batch batch_size=100000 max_retries=1
11391356	       111.1 ns/op	     183 B/op	       1 allocs/op
BenchmarkLokiOutput_MetadataWriter-32    	2026/04/12 20:11:04 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
10187047	       107.4 ns/op	     182 B/op	       1 allocs/op
BenchmarkLokiOutput_MetadataWriter-32    	2026/04/12 20:11:06 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
 3165140	       342.0 ns/op	     251 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_NoSensitivity-32                 	11984697	       102.7 ns/op	     183 B/op	       1 allocs/op
 3255102	       328.9 ns/op	     244 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_NoSensitivity-32                 	BenchmarkLokiBackoff-32                  	45964531	        25.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkLokiBackoff-32                  	 3311115	       317.0 ns/op	     263 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_SensitivityNoExclusions-32       	45536275	        26.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkLokiBackoff-32                  	 3372618	       310.8 ns/op	     258 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_SensitivityNoExclusions-32       	45185851	        25.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkLokiBackoff-32                  	 3413004	       324.0 ns/op	     275 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_SensitivityNoExclusions-32       	46224057	        26.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkLokiBackoff-32                  	46787204	        25.95 ns/op	       0 B/op	       0 allocs/op
 3406518	       333.3 ns/op	     275 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_SensitivityNoExclusions-32       	BenchmarkParseRetryAfter-32              	329720869	         3.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseRetryAfter-32              	 3439528	       325.8 ns/op	     274 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_SensitivityNoExclusions-32       	328316316	         3.672 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseRetryAfter-32              	 3414253	       314.5 ns/op	     260 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithExclusions-32                	324355138	         3.695 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseRetryAfter-32              	 3478406	       318.6 ns/op	     233 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithExclusions-32                	322780308	         3.674 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseRetryAfter-32              	318429117	         3.736 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/axonops/audit/loki	37.231s
=== bench outputconfig ===
PASS
ok  	github.com/axonops/audit/outputconfig	0.004s
PASS
ok  	github.com/axonops/audit/outputconfig/tests/bdd	0.007s
?   	github.com/axonops/audit/outputconfig/tests/bdd/steps	[no test files]
=== bench outputs ===
PASS
ok  	github.com/axonops/audit/outputs	0.004s
=== bench cmd/audit-gen ===
PASS
ok  	github.com/axonops/audit/cmd/audit-gen	0.005s
=== bench secrets ===
PASS
ok  	github.com/axonops/audit/secrets	0.003s
=== bench secrets/openbao ===
 3694665	       333.2 ns/op	     232 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithExclusions-32                	PASS
ok  	github.com/axonops/audit/secrets/openbao	0.004s
=== bench secrets/vault ===
PASS
ok  	github.com/axonops/audit/secrets/vault	0.004s
 3383376	       319.6 ns/op	     235 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithExclusions-32                	 3714976	       305.6 ns/op	     240 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_WithExclusions-32                	 3755065	       313.1 ns/op	     235 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_AllFieldsExcluded-32             	 3486024	       305.0 ns/op	     209 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_AllFieldsExcluded-32             	 3620080	       325.6 ns/op	     215 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_AllFieldsExcluded-32             	 3558807	       309.3 ns/op	     218 B/op	       2 allocs/op
BenchmarkDeliverToOutputs_AllFieldsExcluded-32             	 3871077	       299.6 ns/op	     206 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_AllFieldsExcluded-32             	 3460774	       307.6 ns/op	     212 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MultiOutput_MixedExclusion-32    	 4169055	       277.5 ns/op	     249 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MultiOutput_MixedExclusion-32    	 3576866	       279.6 ns/op	     250 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MultiOutput_MixedExclusion-32    	 3736726	       280.2 ns/op	     253 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MultiOutput_MixedExclusion-32    	 3866028	       274.4 ns/op	     247 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_MultiOutput_MixedExclusion-32    	 3711879	       279.1 ns/op	     249 B/op	       1 allocs/op
BenchmarkMatchesRoute_Severity/nil_severity-32             	700567117	         1.684 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/nil_severity-32             	710997102	         1.686 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/nil_severity-32             	710895091	         1.691 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/nil_severity-32             	700314289	         1.689 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/nil_severity-32             	713279942	         1.678 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_min-32        	533868732	         2.270 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_min-32        	522935481	         2.272 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_min-32        	530154156	         2.261 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_min-32        	525249304	         2.268 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_min-32        	527612062	         2.255 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_range-32      	493165903	         2.443 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_range-32      	490323129	         2.447 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_range-32      	488842246	         2.527 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_range-32      	477440860	         2.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_only_range-32      	487974910	         2.455 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/include_categories_with_severity-32         	356245004	         3.368 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/include_categories_with_severity-32         	354432010	         3.373 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/include_categories_with_severity-32         	357488596	         3.391 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/include_categories_with_severity-32         	356068402	         3.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/include_categories_with_severity-32         	353620702	         3.383 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_reject-32                          	748609532	         1.502 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_reject-32                          	799979472	         1.492 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_reject-32                          	803655016	         1.681 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_reject-32                          	798212445	         1.627 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_reject-32                          	803008384	         1.496 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_accept-32                          	356269460	         3.364 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_accept-32                          	357649812	         3.362 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_accept-32                          	355409344	         3.370 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_accept-32                          	349552288	         3.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesRoute_Severity/severity_accept-32                          	352990446	         3.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseTaxonomyYAML-32                                              	    9356	    108704 ns/op	  140071 B/op	    2229 allocs/op
BenchmarkParseTaxonomyYAML-32                                              	    8096	    146197 ns/op	  140076 B/op	    2229 allocs/op
BenchmarkParseTaxonomyYAML-32                                              	    9339	    130321 ns/op	  140076 B/op	    2229 allocs/op
BenchmarkParseTaxonomyYAML-32                                              	    7815	    151342 ns/op	  140077 B/op	    2229 allocs/op
BenchmarkParseTaxonomyYAML-32                                              	   10282	    121829 ns/op	  140069 B/op	    2229 allocs/op
BenchmarkNewRequestID-32                                                   	17021204	        68.20 ns/op	      48 B/op	       1 allocs/op
BenchmarkNewRequestID-32                                                   	20096590	        59.82 ns/op	      48 B/op	       1 allocs/op
BenchmarkNewRequestID-32                                                   	20082320	        59.77 ns/op	      48 B/op	       1 allocs/op
BenchmarkNewRequestID-32                                                   	20117499	        66.17 ns/op	      48 B/op	       1 allocs/op
BenchmarkNewRequestID-32                                                   	13916320	        80.70 ns/op	      48 B/op	       1 allocs/op
BenchmarkClientIP-32                                                       	12078330	        87.86 ns/op	      48 B/op	       1 allocs/op
BenchmarkClientIP-32                                                       	16205809	        73.92 ns/op	      48 B/op	       1 allocs/op
BenchmarkClientIP-32                                                       	16597478	        72.92 ns/op	      48 B/op	       1 allocs/op
BenchmarkClientIP-32                                                       	16778929	        72.92 ns/op	      48 B/op	       1 allocs/op
BenchmarkClientIP-32                                                       	16336928	        73.38 ns/op	      48 B/op	       1 allocs/op
BenchmarkValidRequestID-32                                                 	69457045	        15.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidRequestID-32                                                 	58663724	        20.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidRequestID-32                                                 	58070800	        20.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidRequestID-32                                                 	52295784	        20.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidRequestID-32                                                 	53369738	        20.53 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/axonops/audit	421.707s
PASS
ok  	github.com/axonops/audit/audittest	0.004s
?   	github.com/axonops/audit/examples/01-basic	[no test files]
?   	github.com/axonops/audit/examples/02-code-generation	[no test files]
?   	github.com/axonops/audit/examples/03-file-output	[no test files]
PASS
ok  	github.com/axonops/audit/examples/04-testing	0.004s
?   	github.com/axonops/audit/examples/05-formatters	[no test files]
?   	github.com/axonops/audit/examples/06-middleware	[no test files]
?   	github.com/axonops/audit/examples/07-syslog-output	[no test files]
?   	github.com/axonops/audit/examples/08-webhook-output	[no test files]
?   	github.com/axonops/audit/examples/09-multi-output	[no test files]
?   	github.com/axonops/audit/examples/10-event-routing	[no test files]
?   	github.com/axonops/audit/examples/11-sensitivity-labels	[no test files]
?   	github.com/axonops/audit/examples/12-hmac-integrity	[no test files]
?   	github.com/axonops/audit/examples/13-standard-fields	[no test files]
?   	github.com/axonops/audit/examples/14-loki-output	[no test files]
?   	github.com/axonops/audit/examples/15-tls-policy	[no test files]
?   	github.com/axonops/audit/examples/16-buffering	[no test files]
?   	github.com/axonops/audit/internal/testhelper	[no test files]
?   	github.com/axonops/audit/tests/bdd/steps	[no test files]
=== bench file ===
PASS
ok  	github.com/axonops/audit/file	0.004s
PASS
ok  	github.com/axonops/audit/file/internal/rotate	0.004s
=== bench syslog ===
PASS
ok  	github.com/axonops/audit/syslog	0.004s
=== bench webhook ===
PASS
ok  	github.com/axonops/audit/webhook	0.004s
=== bench loki ===
2026/04/12 20:12:48 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
goos: linux
goarch: amd64
pkg: github.com/axonops/audit/loki
cpu: AMD Ryzen 9 7950X 16-Core Processor            
BenchmarkWriteWithMetadata-32            	17992188	        61.64 ns/op	      77 B/op	       1 allocs/op
BenchmarkWriteWithMetadata-32            	2026/04/12 20:12:49 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
15737149	        69.36 ns/op	      79 B/op	       1 allocs/op
BenchmarkWriteWithMetadata-32            	2026/04/12 20:12:50 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
22549584	        63.17 ns/op	      77 B/op	       1 allocs/op
BenchmarkWriteWithMetadata-32            	2026/04/12 20:12:51 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
21903025	        63.03 ns/op	      77 B/op	       1 allocs/op
BenchmarkWriteWithMetadata-32            	2026/04/12 20:12:53 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
2026/04/12 20:12:54 WARN audit: loki retryable error attempt=1 max_retries=1 error="audit: loki request failed: Post \"http://127.0.0.1:46565\": readfrom tcp 127.0.0.1:51344->127.0.0.1:46565: write tcp 127.0.0.1:51344->127.0.0.1:46565: write: connection reset by peer"
2026/04/12 20:12:54 ERROR audit: loki retries exhausted, dropping batch batch_size=100000 max_retries=1
21542137	        59.98 ns/op	      77 B/op	       1 allocs/op
BenchmarkLokiOutput_BatchBuild-32        	   16381	     72513 ns/op	  266329 B/op	     390 allocs/op
BenchmarkLokiOutput_BatchBuild-32        	   15001	     81152 ns/op	  266330 B/op	     390 allocs/op
BenchmarkLokiOutput_BatchBuild-32        	   16257	     73510 ns/op	  266329 B/op	     390 allocs/op
BenchmarkLokiOutput_BatchBuild-32        	   16324	     73347 ns/op	  266331 B/op	     390 allocs/op
BenchmarkLokiOutput_BatchBuild-32        	   15440	     77300 ns/op	  266332 B/op	     390 allocs/op
BenchmarkLokiOutput_Gzip-32              	    5654	    218408 ns/op	 1069896 B/op	     381 allocs/op
BenchmarkLokiOutput_Gzip-32              	    5086	    246202 ns/op	 1069893 B/op	     381 allocs/op
BenchmarkLokiOutput_Gzip-32              	    5750	    217520 ns/op	 1069891 B/op	     381 allocs/op
BenchmarkLokiOutput_Gzip-32              	    5187	    238146 ns/op	 1069881 B/op	     381 allocs/op
BenchmarkLokiOutput_Gzip-32              	    5610	    219932 ns/op	 1069884 B/op	     381 allocs/op
2026/04/12 20:13:06 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
BenchmarkLokiOutput_MetadataWriter-32    	13087153	        87.22 ns/op	     183 B/op	       1 allocs/op
BenchmarkLokiOutput_MetadataWriter-32    	2026/04/12 20:13:08 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
2026/04/12 20:13:09 WARN audit: loki retryable error attempt=1 max_retries=1 error="audit: loki request failed: Post \"http://127.0.0.1:41257\": readfrom tcp 127.0.0.1:38870->127.0.0.1:41257: write tcp 127.0.0.1:38870->127.0.0.1:41257: write: connection reset by peer"
2026/04/12 20:13:09 ERROR audit: loki retries exhausted, dropping batch batch_size=100000 max_retries=1
15829284	        83.02 ns/op	     183 B/op	       1 allocs/op
BenchmarkLokiOutput_MetadataWriter-32    	2026/04/12 20:13:09 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
15901119	        85.95 ns/op	     183 B/op	       1 allocs/op
BenchmarkLokiOutput_MetadataWriter-32    	2026/04/12 20:13:11 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
2026/04/12 20:13:12 WARN audit: loki retryable error attempt=1 max_retries=1 error="audit: loki request failed: Post \"http://127.0.0.1:41193\": readfrom tcp 127.0.0.1:43952->127.0.0.1:41193: write tcp 127.0.0.1:43952->127.0.0.1:41193: write: connection reset by peer"
2026/04/12 20:13:12 ERROR audit: loki retries exhausted, dropping batch batch_size=99785 max_retries=1
14920167	        77.48 ns/op	     181 B/op	       1 allocs/op
BenchmarkLokiOutput_MetadataWriter-32    	2026/04/12 20:13:12 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
15301402	        89.29 ns/op	     183 B/op	       1 allocs/op
BenchmarkLokiBackoff-32                  	46014552	        25.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkLokiBackoff-32                  	45963070	        25.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkLokiBackoff-32                  	46188634	        25.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkLokiBackoff-32                  	46551309	        25.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkLokiBackoff-32                  	46311201	        25.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseRetryAfter-32              	328835863	         3.830 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseRetryAfter-32              	321113328	         3.860 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseRetryAfter-32              	308253975	         3.842 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseRetryAfter-32              	306080275	         3.787 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseRetryAfter-32              	326553805	         3.726 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/axonops/audit/loki	37.891s
=== bench outputconfig ===
PASS
ok  	github.com/axonops/audit/outputconfig	0.004s
PASS
ok  	github.com/axonops/audit/outputconfig/tests/bdd	0.007s
?   	github.com/axonops/audit/outputconfig/tests/bdd/steps	[no test files]
=== bench outputs ===
PASS
ok  	github.com/axonops/audit/outputs	0.004s
=== bench cmd/audit-gen ===
PASS
ok  	github.com/axonops/audit/cmd/audit-gen	0.004s
=== bench secrets ===
PASS
ok  	github.com/axonops/audit/secrets	0.004s
=== bench secrets/openbao ===
PASS
ok  	github.com/axonops/audit/secrets/openbao	0.004s
=== bench secrets/vault ===
PASS
ok  	github.com/axonops/audit/secrets/vault	0.004s
